Date_start;Date_end;Var_name;Var_name_long; Unit;Frequency;Var_selection;STATS_Day24;STATS_Daylight;STATS_Hour
2026__01__01;2026__02__05;TA_2_1_1;Dry bulb temperature ventilated (1.5 m); °C;01min;Y;;;
;;TW_2_1_1;Dry bulb temperature ventilated (1.5 m); °C;01min;Y;;;
;;TA_1_1_1;Dry bulb temperature unventilated (1.5 m); °C;01min;Y;;;
;;TW_1_1_1;Dry bulb temperature unventilated (1.5 m); °C;01min;Y;;;
;;TA_1_2_1;Dry bulb temperature shielded (10 cm); °C;01min;Y;;;
;;TA_1_1_2;Temperature Vaisala (1.5 m); °C;01min;Y;count,min;count,min,max,mean;median
;;RH_1_1_1;Relative humidity (1.5 m); %;01min;Y;;;
;;SW_IN_1_1_1;Incoming shortwave radiation; W m-2;01min;N;;;
;;SW_OUT_1_1_1;Outgoing shortwave radiation; W m-2;01min;N;;;
;;LW_IN_1_1_1;Incoming longwave radiation; W m-2;01min;N;;;
;;LW_OUT_1_1_1;Outgoing longwave radiation; W m-2;01min;N;;;
;;RN_1_1_1;Net radiation (calculated); W m-2;01min;N;;;
;;SW_DIF_1_1_1;Diffuse radiation (sun tracker); W m-2;01min;Y;;;
;;SW_DIR_1_1_1;Direct normal irradiance, perpendicular to the solar beam (sun tracker); W m-2;01min;Y;;;
;;LW_IN_2_1_1;Incoming longwave radiation (sun tracker); W m-2;01min;N;;;
;;SW_DUR_1_1_1;Sunshine duration (sun tracker); s;01min;Y;count,sum;;sum
;;VIS_1_1_1;Visibility (max. 8000m); m;01min;N;;;
;;P_1_1_7;Precipitation weighing gauge; mm;01min;Y;count,sum;count,sum;sum
;;D_SNOW;Raw grass/Snow height; cm;01min;N;;;
;;PA_1_1_1;Air pressure; kPa;01min;Y;mean,min,max;count,mean;mean,sd
;;WS_2_1_1;Wind speed cup 10m mean; m s-1;01min;N;;;
;;WX_2_1_1;Wind speed cup 10m max (wind gusts); m s-1;01min;N;;;
;;WS_1_1_1;Wind speed sonic 10m mean; m s-1;01min;N;;;
;;WX_1_1_1;Wind speed sonic 10m max (wind gusts); m s-1;01min;N;;;
;;WD_1_1_1;Wind direction sonic 10m; °;01min;N;;;
;;WS_1_2_1;Wind speed sonic 2m mean; m s-1;01min;N;;;
;;WX_1_2_1;Wind speed sonic 2m max (wind gusts); m s-1;01min;N;;;
;;WD_1_2_1;Wind direction sonic 2m; °;01min;N;;;
;;WTD_1_1_1;Groundwater level below surface; m;01min;N;;;
;;TS_1_1_1;Soil temperature under grass (5 cm); °C;01min;Y;;;
;;TS_1_2_1;Soil temperature under grass (10 cm); °C;01min;Y;;;
;;TS_1_3_1;Soil temperature under grass (20 cm); °C;01min;Y;;;
;;TS_1_4_1;Soil temperature under grass (50 cm); °C;01min;Y;;;
;;TS_1_5_1;Soil temperature under grass (100 cm); °C;01min;Y;;;
;;TS_1_6_1;Soil temperature under grass (150 cm); °C;01min;Y;;;
;;TS_2_1_1;Soil temperature under bare soil (5 cm); °C;01min;Y;;;
;;TS_2_2_1;Soil temperature under bare soil (10 cm); °C;01min;Y;;;
;;TS_2_3_1;Soil temperature under bare soil (20 cm); °C;01min;Y;;;
;;TS_2_4_1;Soil temperature under bare soil (50 cm); °C;01min;Y;;;
;;G_1_1_1;Soil heat flux grass A (6 cm); W m-2;01min;N;;;
;;G_2_1_1;Soil heat flux grass B (6 cm); W m-2;01min;N;;;
;;G_3_1_1;Soil heat flux grass C (6 cm); W m-2;01min;N;;;
;;G_4_1_1;Soil heat flux bare soil (6 cm); W m-2;01min;N;;;
;;VWC_1_1_1;Volumetric water content grass A (65 mm); m3 m-3;01min;N;;;
;;VWC_1_2_1;Volumetric water content grass A (125 mm); m3 m-3;01min;N;;;
;;VWC_1_3_1;Volumetric water content grass A (250 mm); m3 m-3;01min;N;;;
;;VWC_1_4_1;Volumetric water content grass A (500 mm); m3 m-3;01min;N;;;
;;VWC_2_1_1;Volumetric water content grass B (65 mm); m3 m-3;01min;N;;;
;;VWC_2_2_1;Volumetric water content grass B (125 mm); m3 m-3;01min;N;;;
;;VWC_2_3_1;Volumetric water content grass B (250 mm); m3 m-3;01min;N;;;
;;VWC_2_4_1;Volumetric water content grass B (500 mm); m3 m-3;01min;N;;;
;;VWC_3_1_1;Volumetric water content bare soil (65 mm); m3 m-3;01min;N;;;
;;P_1_1_1;Realtime if > 0.1 mm/min. For rain warning only, not for daily totals. For actual precipitation use P_1_1_7.; mm;01min;N;;;
;;P_1_1_2;Realtime if > 0.03mm/h, otherwise 1h output delay. For actual precipitation use P_1_1_7.; mm;01min;N;;;
;;P_1_1_3;5 min output delay, not accurate. For actual precipitation use P_1_1_7.; mm;01min;N;;;
;;P_1_1_4;No loss of data if disrupted data communication. Stores totals. For actual precipitation use P_1_1_7.; mm;01min;N;;;
;;P_1_1_5;Bucket content, non filtered. Not usefull for rain. For actual precipitation use P_1_1_7.; mm;01min;N;;;
;;P_1_1_6;For bucket content and evaporation, not for rain! For actual precipitation use P_1_1_7.; mm;01min;N;;;
;;DOY;Day of year identifier; ddd.ddd;30min;N;;;
;;daytime;Daytime flag (1=daytime, 0=nighttime); 1=daytime;30min;N;;;
;;file_records;Raw eddy-pro file used; -;30min;N;;;
;;used_records;Raw eddy-pro records used; -;30min;N;;;
;;Tau;Corrected momentum flux; kg m-1 s-2;30min;N;;;
;;qc_Tau;Quality flag for momentum flux; -;30min;N;;;
;;H;Corrected sensible heat flux; W m-2;30min;N;;;
;;qc_H;Quality flag for sensible heat flux; -;30min;N;;;
;;LE;Corrected latent heat flux; W m-2;30min;N;;;
;;qc_LE;Quality flag latent heat flux; -;30min;N;;;
;;co2_flux;Corrected gas flux; µmol m-2 s-1;30min;N;;;
;;qc_co2_flux;Quality flag for gas flux; -;30min;N;;;
;;h2o_flux;Corrected gas flux; mmol m-2 s-1;30min;N;;;
;;qc_h2o_flux;Quality flag for gas flux; -;30min;N;;;
;;H_strg;Estimate of storage sensible heat flux; W m-2;30min;N;;;
;;LE_strg;Estimate of storage latent heat flux; W m-2;30min;N;;;
;;co2_strg;Estimate of storage gas flux; µmol m-2 s-1;30min;N;;;
;;h2o_strg;Estimate of storage gas flux; mmol m-2 s-1;30min;N;;;
;;co2_v-adv;Estimate of vertical advection flux; µmol m-2 s-1;30min;N;;;
;;h2o_v-adv;Estimate of vertical advection flux; mmol m-2 s-1;30min;N;;;
;;co2_molar_density;Measured or estimated molar density of gas; mmol m-3;30min;N;;;
;;co2_mole_fraction;Measured or estimated mole fraction of gas; µmol mola-1;30min;N;;;
;;co2_mixing_ratio;Measured or estimated mixing ratio of gas; µmol mold-1;30min;N;;;
;;co2_time_lag;Time lag used to synchronize gas time series; s;30min;N;;;
;;co2_def_timelag;Flag: whether the reported time lag is the default (T) or calculated (F); 1=default, 2=calculated;30min;N;;;
;;h2o_molar_density;Measured or estimated molar density of gas; mmol m-3;30min;N;;;
;;h2o_mole_fraction;Measured or estimated mole fraction of gas; mmol mola-1;30min;N;;;
;;h2o_mixing_ratio;Measured or estimated mixing ratio of gas; mmol mold-1;30min;N;;;
;;h2o_time_lag;Time lag used to synchronize gas time series; s;30min;N;;;
;;h2o_def_timelag;Flag: whether the reported time lag is the default (T) or calculated (F); 1=default, 2=calculated;30min;N;;;
;;sonic_temperature;Mean temperature of ambient air as measured by the anemometer; K;30min;N;;;
;;air_temperature;Mean temperature of ambient air, either calculated from high frequency air temperature readings, or estimated from sonic temperature; K;30min;N;;;
;;air_pressure;Mean pressure of ambient air, either calculated from high frequency air pressure readings, or estimated based on site altitude (barometric pressure); Pa;30min;N;;;
;;air_density;Density of ambient air; kg m-3;30min;N;;;
;;air_heat_capacity;Specific heat at constant pressure of ambient air; J kg-1 K-1;30min;N;;;
;;air_molar_volume;Molar volume of ambient air; m3 mol-1;30min;N;;;
;;ET;Evapotranspiration flux; mm hour-1;30min;N;;;
;;water_vapor_density;Ambient mass density of water vapor; kg m-3;30min;N;;;
;;e;Ambient water vapor partial pressure; Pa;30min;N;;;
;;es;Ambient water vapor partial pressure at saturation; Pa;30min;N;;;
;;specific_humidity;Ambient specific humidity on a mass basis; kg kg-1;30min;N;;;
;;RH;Ambient relative humidity; %;30min;N;;;
;;VPD;Ambient water vapor pressure deficit; Pa;30min;N;;;
;;Tdew;Ambient dew point temperature; K;30min;N;;;
;;u_unrot;Wind component along the u anemometer axis; m s-1;30min;N;;;
;;v_unrot;Wind component along the v anemometer axis; m s-1;30min;N;;;
;;w_unrot;Wind component along the w anemometer axis; m s-1;30min;N;;;
;;u_rot;Rotated u wind component (mean wind speed); m s-1;30min;N;;;
;;v_rot;Rotated v wind component (should be zero); m s-1;30min;N;;;
;;w_rot;Rotated w wind component (should be zero); m s-1;30min;N;;;
;;wind_speed;Mean wind speed; m s-1;30min;Y;max;mean;mean
;;max_wind_speed;Maximum instantaneous wind speed; m s-1;30min;N;;;
;;wind_dir;Direction from which the wind blows, with respect to Geographic or Magnetic north; °;30min;Y;;;
;;yaw;First rotation angle; °;30min;N;;;
;;pitch;Second rotation angle; °;30min;N;;;
;;roll;Third rotation angle; °;30min;N;;;
;;u*;Friction velocity; m s-1;30min;N;;;
;;TKE;Turbulent kinetic energy; m2 s-2;30min;N;;;
;;L;Monin-Obukhov length; m;30min;N;;;
;;(z-d)/L;Monin-Obukhov stability parameter; -;30min;N;;;
;;bowen_ratio;Sensible heat flux to latent heat flux ratio; -;30min;N;;;
;;T*;Scaling temperature; K;30min;N;;;
;;model;Model for footprint estimation; 0=KJ/1=KM/2=HS;30min;N;;;
;;x_peak;Along-wind distance providing the highest (peak) contribution to turbulent fluxes; m;30min;N;;;
;;x_offset;Along-wind distance providing <1% contribution to turbulent fluxes; m;30min;N;;;
;;x_10%;Along-wind distance providing 10% (cumulative) contribution to turbulent fluxes; m;30min;N;;;
;;x_30%;Along-wind distance providing 30% (cumulative) contribution to turbulent fluxes; m;30min;N;;;
;;x_50%;Along-wind distance providing 50% (cumulative) contribution to turbulent fluxes; m;30min;N;;;
;;x_70%;Along-wind distance providing 70% (cumulative) contribution to turbulent fluxes; m;30min;N;;;
;;x_90%;Along-wind distance providing 90% (cumulative) contribution to turbulent fluxes; m;30min;N;;;
;;un_Tau;Uncorrected momentum flux; kg m-1 s-2;30min;N;;;
;;Tau_scf;Spectral correction factor for momentum flux; -;30min;N;;;
;;un_H;Uncorrected sensible heat flux; W m-2;30min;N;;;
;;H_scf;Spectral correction factor for sensible heat flux; -;30min;N;;;
;;un_LE;Uncorrected latent heat flux; W m-2;30min;N;;;
;;LE_scf;Spectral correction factor for latent heat flux; -;30min;N;;;
;;un_co2_flux;Uncorrected gas flux; µmol s-1 m-2;30min;N;;;
;;co2_scf;Spectral correction factor for gas flux; -;30min;N;;;
;;un_h2o_flux;Uncorrected gas flux; mmol s-1 m-2;30min;N;;;
;;h2o_scf;Spectral correction factor for gas flux; -;30min;N;;;
;;spikes_hf;Hard flags for individual variables for spike test; 8u/v/w/ts/co2/h2o/ch4/none;30min;N;;;
;;amplitude_resolution_hf;Hard flags for individual variables for amplitude resolution; 8u/v/w/ts/co2/h2o/ch4/none;30min;N;;;
;;drop_out_hf;Hard flags for individual variables for drop-out test; 8u/v/w/ts/co2/h2o/ch4/none;30min;N;;;
;;absolute_limits_hf;Hard flags for individual variables for absolute limits; 8u/v/w/ts/co2/h2o/ch4/none;30min;N;;;
;;skewness_kurtosis_hf;Hard flags for individual variables for skewness and kurtosis; 8u/v/w/ts/co2/h2o/ch4/none;30min;N;;;
;;skewness_kurtosis_sf;Soft flags for individual variables for skewness and kurtosis test; 8u/v/w/ts/co2/h2o/ch4/none;30min;N;;;
;;discontinuities_hf;Hard flags for individual variables for discontinuities test; 8u/v/w/ts/co2/h2o/ch4/none;30min;N;;;
;;discontinuities_sf;Soft flags for individual variables for discontinuities test; 8u/v/w/ts/co2/h2o/ch4/none;30min;N;;;
;;timelag_hf;Hard flags for gas concentration for time lag test; 8co2/h2o/ch4/none;30min;N;;;
;;timelag_sf;Soft flags for gas concentration for time lag test; 8co2/h2o/ch4/none;30min;N;;;
;;attack_angle_hf;Hard flag for attack angle test; 8aa;30min;N;;;
;;non_steady_wind_hf;Hard flag for non-steady horizontal test; 8U;30min;N;;;
;;u_spikes;Number of spikes detected and eliminated for variable var; -;30min;N;;;
;;v_spikes;Number of spikes detected and eliminated for variable var; -;30min;N;;;
;;w_spikes;Number of spikes detected and eliminated for variable var; -;30min;N;;;
;;ts_spikes;Number of spikes detected and eliminated for variable var; -;30min;N;;;
;;co2_spikes;Number of spikes detected and eliminated for variable var; -;30min;N;;;
;;h2o_spikes;Number of spikes detected and eliminated for variable var; -;30min;N;;;
;;chopper_LI-7500;; #_flagged_recs;30min;N;;;
;;detector_LI-7500;; #_flagged_recs;30min;N;;;
;;pll_LI-7500;; #_flagged_recs;30min;N;;;
;;sync_LI-7500;; #_flagged_recs;30min;N;;;
;;mean_value_AGC_LI-7500;; -;30min;N;;;
;;u_var;Variance of variable var; m2 s-2;30min;N;;;
;;v_var;Variance of variable var; m2 s-2;30min;N;;;
;;w_var;Variance of variable var; m2 s-2;30min;N;;;
;;ts_var;Variance of variable var; K2;30min;N;;;
;;co2_var;Variance of variable var; -;30min;N;;;
;;h2o_var;Variance of variable var; -;30min;N;;;
;;w/ts_cov;Covariance between w and variable var; m s-1 K;30min;N;;;
;;w/co2_cov;Covariance between w and variable var; -;30min;N;;;
;;w/h2o_cov;Covariance between w and variable var; -;30min;N;;;
;;BC;Black carbon concentration; ng m-3;05min;N;;;
;;BC_UV;UV data result (BC+UV PM); ng m-3;05min;N;;;
;;F;Air flow; L min-1;05min;N;;;
;;SZ_BC;BC sensing zero signal; V;05min;N;;;
;;SB_BC;BC sensing beam signal; V;05min;N;;;
;;RZ_BC;BC reference zero signal; V;05min;N;;;
;;RB_BC;BC reference beam signal; V;05min;N;;;
;;F_BY_BC;BC bypass fraction; -;05min;N;;;
;;ANT_BC;BC optical attenuation; -;05min;N;;;
;;SZ_UV;UV sensing zero signal; V;05min;N;;;
;;SB_UV;UV sensing beam signal; V;05min;N;;;
;;RZ_UV;UV reference zero signal; V;05min;N;;;
;;RB_UV;UV reference beam signal; V;05min;N;;;
;;F_BY_UV;UV bypass fraction; -;05min;N;;;
;;ANT_UV;UV optical atteniuation; -;05min;N;;;
;;PM2.5;Particulate matter concentration < 2.5 µm; µg m-3;05min;N;;;
;;PM10;Particulate matter concentration < 10 µm; µg m-3;05min;N;;;
;;NOx;Ambient air NOx mixing ratio; ppb;01min;N;;;
;;NO;Ambient air NO mixing ratio; ppb;01min;N;;;
;;NO2;Ambient air NO2 mixing ratio; ppb;01min;N;;;
;;O3;Ambient air O3 mixing ratio; ppb;01min;N;;;
;;BAM_Conc;Particulate matter concentration < 2.5 µm; mg m-3;60min;N;;;
;;BAM_Qtot;Total flow volume; m3;60min;N;;;
;;BAM_WS;Wind Speed (BX-591); m s-1;60min;N;;;
;;BAM_RH;Relative humidity (BX-593); %;60min;N;;;
;;BAM_Delta;Delta temperature (BX-597); °C;60min;N;;;
;;BAM_AT;Air temperature (BX-597); °C;60min;N;;;
;;BAM_E;Flag: External reset or Interface Reset; -;60min;N;;;
;;BAM_U;Flag: Telemetry Fault or Interface Fault ; -;60min;N;;;
;;BAM_M;Flag: Maintenance Alarm; -;60min;N;;;
;;BAM_I;Flag: Internal Error or Coarse Link Down; -;60min;N;;;
;;BAM_L;Flag: Power Failure or Processor Reset ; -;60min;N;;;
;;BAM_R;Flag: Reference Error or Membrane Timeout ; -;60min;N;;;
;;BAM_N;Flag: Nozzle Error; -;60min;N;;;
;;BAM_F;Flag: Flow Error; -;60min;N;;;
;;BAM_P;Flag: Pressure Drop Alarm or Delta-Pressure Alarm ; -;60min;N;;;
;;BAM_D;Flag: Deviant Membrane Density Alarm or BAM CAL alarm; -;60min;N;;;
;;BAM_C;Flag: Count Error or Data Error ; -;60min;N;;;
;;BAM_T;Flag: Tape System Error or Filter Tape Error ; -;60min;N;;;
